,wave,gender,age,age_o,d_age,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,guess_prob_liked,met,match
0,1,female,21.0,27.0,6,asian/pacific islander/asian-american,european/caucasian-american,0,2.0,4.0,law,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8.0,8.0,8.0,8.0,6.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,6.0,9.0,7.0,7.0,6.0,5.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0.14,3.0,2.0,4.0,6.0,0.0,0
1,1,female,21.0,22.0,1,asian/pacific islander/asian-american,european/caucasian-american,0,2.0,4.0,law,60.0,0.0,0.0,40.0,0.0,0.0,7.0,8.0,10.0,7.0,7.0,5.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,5.0,6.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0.54,3.0,2.0,4.0,5.0,1.0,0
2,1,female,21.0,22.0,1,asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,2.0,4.0,law,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,5.0,8.0,9.0,8.0,5.0,7.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0.16,3.0,2.0,4.0,,1.0,1
3,1,female,21.0,23.0,2,asian/pacific islander/asian-american,european/caucasian-american,0,2.0,4.0,law,30.0,5.0,15.0,40.0,5.0,5.0,7.0,8.0,9.0,8.0,9.0,8.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,7.0,6.0,8.0,7.0,6.0,8.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0.61,3.0,2.0,4.0,6.0,0.0,1
4,1,female,21.0,24.0,3,asian/pacific islander/asian-american,latino/hispanic american,0,2.0,4.0,law,30.0,10.0,20.0,10.0,10.0,20.0,8.0,7.0,9.0,6.0,9.0,7.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,5.0,6.0,7.0,7.0,6.0,6.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0.21,3.0,2.0,4.0,6.0,0.0,1
5,1,female,21.0,25.0,4,asian/pacific islander/asian-american,european/caucasian-american,0,2.0,4.0,law,50.0,0.0,30.0,10.0,0.0,10.0,7.0,7.0,8.0,8.0,7.0,7.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,4.0,9.0,7.0,4.0,6.0,4.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0.25,3.0,2.0,4.0,5.0,0.0,0
6,1,female,21.0,30.0,9,asian/pacific islander/asian-american,european/caucasian-american,0,2.0,4.0,law,35.0,15.0,25.0,10.0,5.0,10.0,3.0,6.0,7.0,5.0,8.0,7.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,7.0,6.0,7.0,4.0,6.0,7.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0.34,3.0,2.0,4.0,5.0,0.0,0
7,1,female,21.0,27.0,6,asian/pacific islander/asian-american,european/caucasian-american,0,2.0,4.0,law,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7.0,5.0,6.0,8.0,6.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,4.0,9.0,7.0,6.0,5.0,6.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0.5,3.0,2.0,4.0,7.0,,0
8,1,female,21.0,28.0,7,asian/pacific islander/asian-american,european/caucasian-american,0,2.0,4.0,law,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,8.0,8.0,8.0,9.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,7.0,6.0,8.0,9.0,8.0,8.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0.28,3.0,2.0,4.0,7.0,0.0,1
9,1,female,21.0,24.0,3,asian/pacific islander/asian-american,european/caucasian-american,0,2.0,4.0,law,100.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,5.0,6.0,6.0,8.0,10.0,8.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,-0.36,3.0,2.0,4.0,6.0,0.0,0
10,1,female,24.0,27.0,3,european/caucasian-american,european/caucasian-american,1,2.0,5.0,law,35.0,20.0,20.0,20.0,0.0,5.0,8.0,7.0,6.0,9.0,7.0,4.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,5.0,7.0,8.0,4.0,6.0,3.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0.29,4.0,5.0,3.0,4.0,0.0,0
11,1,female,24.0,22.0,2,european/caucasian-american,european/caucasian-american,1,2.0,5.0,law,60.0,0.0,0.0,40.0,0.0,0.0,7.0,6.0,10.0,6.0,6.0,5.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,8.0,5.0,6.0,6.0,9.0,6.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0.18,4.0,5.0,3.0,3.0,0.0,0
12,1,female,24.0,22.0,2,european/caucasian-american,asian/pacific islander/asian-american,0,2.0,5.0,law,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,5.0,8.0,9.0,6.0,3.0,4.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0.1,4.0,5.0,3.0,7.0,0.0,0
13,1,female,24.0,23.0,1,european/caucasian-american,european/caucasian-american,1,2.0,5.0,law,30.0,5.0,15.0,40.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,7.0,9.0,7.0,6.0,5.0,7.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,-0.21,4.0,5.0,3.0,8.0,0.0,1
