,gender,age,age_o,d_age,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_matches,guess_prob_liked,met,match
0,female,21.0,27.0,"(4.0, 6.0]",asian/pacific islander/asian-american,european/caucasian-american,0,"(1.0, 2.0]","(3.0, 10.0]",law,"(25.0, 35.0]","(18.92, 20.0]","(17.31, 20.0]","(18.0, 20.0]","(-0.001, 5.0]","(-0.001, 5.0]","(5.0, 6.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(5.0, 6.0]","(-0.001, 15.0]","(19.05, 20.0]","(17.02, 20.0]","(-0.001, 15.0]","(11.36, 15.0]","(14.29, 17.0]","(1.999, 6.0]","(1.999, 8.0]","(7.0, 8.0]","(2.999, 8.0]","(6.0, 7.0]","(5.0, 6.0]","(8.0, 9.0]","(6.0, 7.0]","(6.0, 7.0]","(5.0, 6.0]","(4.0, 5.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(8.0, 9.0]","(0.999, 5.0]","(0.999, 4.0]","(3.0, 5.0]","(-0.001, 1.0]","(3.0, 5.0]","(0.999, 7.0]","(8.0, 10.0]","(0.999, 5.0]","(9.0, 10.0]","(9.0, 10.0]","(8.0, 9.0]","(7.0, 8.0]","(-0.001, 2.0]","(0.13, 0.31]","(0.999, 4.0]","(3.0, 5.0]","(5.0, 6.0]",0.0,0
1,female,21.0,22.0,"(-0.001, 1.0]",asian/pacific islander/asian-american,european/caucasian-american,0,"(1.0, 2.0]","(3.0, 10.0]",law,"(35.0, 100.0]","(-0.001, 15.0]","(-0.001, 17.31]","(20.0, 50.0]","(-0.001, 5.0]","(-0.001, 5.0]","(6.0, 7.0]","(7.0, 8.0]","(9.0, 10.0]","(6.0, 7.0]","(6.0, 7.0]","(4.0, 5.0]","(-0.001, 15.0]","(19.05, 20.0]","(17.02, 20.0]","(-0.001, 15.0]","(11.36, 15.0]","(14.29, 17.0]","(1.999, 6.0]","(1.999, 8.0]","(7.0, 8.0]","(2.999, 8.0]","(6.0, 7.0]","(6.0, 7.0]","(7.0, 8.0]","(6.0, 7.0]","(7.0, 8.0]","(-0.001, 5.0]","(5.0, 6.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(8.0, 9.0]","(0.999, 5.0]","(0.999, 4.0]","(3.0, 5.0]","(-0.001, 1.0]","(3.0, 5.0]","(0.999, 7.0]","(8.0, 10.0]","(0.999, 5.0]","(9.0, 10.0]","(9.0, 10.0]","(8.0, 9.0]","(7.0, 8.0]","(-0.001, 2.0]","(0.47, 0.91]","(0.999, 4.0]","(3.0, 5.0]","(3.0, 5.0]",1.0,0
3,female,21.0,23.0,"(1.0, 2.0]",asian/pacific islander/asian-american,european/caucasian-american,0,"(1.0, 2.0]","(3.0, 10.0]",law,"(25.0, 35.0]","(-0.001, 15.0]","(-0.001, 17.31]","(20.0, 50.0]","(-0.001, 5.0]","(-0.001, 5.0]","(6.0, 7.0]","(7.0, 8.0]","(8.0, 9.0]","(7.0, 8.0]","(8.0, 10.0]","(7.0, 10.0]","(-0.001, 15.0]","(19.05, 20.0]","(17.02, 20.0]","(-0.001, 15.0]","(11.36, 15.0]","(14.29, 17.0]","(1.999, 6.0]","(1.999, 8.0]","(7.0, 8.0]","(2.999, 8.0]","(6.0, 7.0]","(6.0, 7.0]","(-0.001, 6.0]","(7.0, 8.0]","(6.0, 7.0]","(5.0, 6.0]","(7.0, 10.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(8.0, 9.0]","(0.999, 5.0]","(0.999, 4.0]","(3.0, 5.0]","(-0.001, 1.0]","(3.0, 5.0]","(0.999, 7.0]","(8.0, 10.0]","(0.999, 5.0]","(9.0, 10.0]","(9.0, 10.0]","(8.0, 9.0]","(7.0, 8.0]","(-0.001, 2.0]","(0.47, 0.91]","(0.999, 4.0]","(3.0, 5.0]","(5.0, 6.0]",0.0,1
4,female,21.0,24.0,"(2.0, 4.0]",asian/pacific islander/asian-american,latino/hispanic american,0,"(1.0, 2.0]","(3.0, 10.0]",law,"(25.0, 35.0]","(-0.001, 15.0]","(17.31, 20.0]","(-0.001, 15.0]","(5.0, 10.0]","(17.09, 30.0]","(7.0, 8.0]","(6.0, 7.0]","(8.0, 9.0]","(5.0, 6.0]","(8.0, 10.0]","(6.0, 7.0]","(-0.001, 15.0]","(19.05, 20.0]","(17.02, 20.0]","(-0.001, 15.0]","(11.36, 15.0]","(14.29, 17.0]","(1.999, 6.0]","(1.999, 8.0]","(7.0, 8.0]","(2.999, 8.0]","(6.0, 7.0]","(4.0, 5.0]","(-0.001, 6.0]","(6.0, 7.0]","(6.0, 7.0]","(5.0, 6.0]","(5.0, 6.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(8.0, 9.0]","(0.999, 5.0]","(0.999, 4.0]","(3.0, 5.0]","(-0.001, 1.0]","(3.0, 5.0]","(0.999, 7.0]","(8.0, 10.0]","(0.999, 5.0]","(9.0, 10.0]","(9.0, 10.0]","(8.0, 9.0]","(7.0, 8.0]","(-0.001, 2.0]","(0.13, 0.31]","(0.999, 4.0]","(3.0, 5.0]","(5.0, 6.0]",0.0,1
5,female,21.0,25.0,"(2.0, 4.0]",asian/pacific islander/asian-american,european/caucasian-american,0,"(1.0, 2.0]","(3.0, 10.0]",law,"(35.0, 100.0]","(-0.001, 15.0]","(25.0, 50.0]","(-0.001, 15.0]","(-0.001, 5.0]","(5.0, 10.0]","(6.0, 7.0]","(6.0, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(6.0, 7.0]","(6.0, 7.0]","(-0.001, 15.0]","(19.05, 20.0]","(17.02, 20.0]","(-0.001, 15.0]","(11.36, 15.0]","(14.29, 17.0]","(1.999, 6.0]","(1.999, 8.0]","(7.0, 8.0]","(2.999, 8.0]","(6.0, 7.0]","(-0.001, 4.0]","(8.0, 9.0]","(6.0, 7.0]","(-0.001, 5.0]","(5.0, 6.0]","(-0.001, 4.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(8.0, 9.0]","(0.999, 5.0]","(0.999, 4.0]","(3.0, 5.0]","(-0.001, 1.0]","(3.0, 5.0]","(0.999, 7.0]","(8.0, 10.0]","(0.999, 5.0]","(9.0, 10.0]","(9.0, 10.0]","(8.0, 9.0]","(7.0, 8.0]","(-0.001, 2.0]","(0.13, 0.31]","(0.999, 4.0]","(3.0, 5.0]","(3.0, 5.0]",0.0,0
6,female,21.0,30.0,"(6.0, 32.0]",asian/pacific islander/asian-american,european/caucasian-american,0,"(1.0, 2.0]","(3.0, 10.0]",law,"(25.0, 35.0]","(-0.001, 15.0]","(20.0, 25.0]","(-0.001, 15.0]","(-0.001, 5.0]","(5.0, 10.0]","(-0.001, 4.0]","(-0.001, 6.0]","(6.0, 7.0]","(-0.001, 5.0]","(7.0, 8.0]","(6.0, 7.0]","(-0.001, 15.0]","(19.05, 20.0]","(17.02, 20.0]","(-0.001, 15.0]","(11.36, 15.0]","(14.29, 17.0]","(1.999, 6.0]","(1.999, 8.0]","(7.0, 8.0]","(2.999, 8.0]","(6.0, 7.0]","(6.0, 7.0]","(-0.001, 6.0]","(6.0, 7.0]","(-0.001, 5.0]","(5.0, 6.0]","(6.0, 7.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(8.0, 9.0]","(0.999, 5.0]","(0.999, 4.0]","(3.0, 5.0]","(-0.001, 1.0]","(3.0, 5.0]","(0.999, 7.0]","(8.0, 10.0]","(0.999, 5.0]","(9.0, 10.0]","(9.0, 10.0]","(8.0, 9.0]","(7.0, 8.0]","(-0.001, 2.0]","(0.31, 0.47]","(0.999, 4.0]","(3.0, 5.0]","(3.0, 5.0]",0.0,0
8,female,21.0,28.0,"(6.0, 32.0]",asian/pacific islander/asian-american,european/caucasian-american,0,"(1.0, 2.0]","(3.0, 10.0]",law,"(35.0, 100.0]","(-0.001, 15.0]","(20.0, 25.0]","(-0.001, 15.0]","(-0.001, 5.0]","(14.0, 17.09]","(6.0, 7.0]","(6.0, 7.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 10.0]","(-0.001, 15.0]","(19.05, 20.0]","(17.02, 20.0]","(-0.001, 15.0]","(11.36, 15.0]","(14.29, 17.0]","(1.999, 6.0]","(1.999, 8.0]","(7.0, 8.0]","(2.999, 8.0]","(6.0, 7.0]","(6.0, 7.0]","(-0.001, 6.0]","(7.0, 8.0]","(8.0, 10.0]","(7.0, 8.0]","(7.0, 10.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(8.0, 9.0]","(0.999, 5.0]","(0.999, 4.0]","(3.0, 5.0]","(-0.001, 1.0]","(3.0, 5.0]","(0.999, 7.0]","(8.0, 10.0]","(0.999, 5.0]","(9.0, 10.0]","(9.0, 10.0]","(8.0, 9.0]","(7.0, 8.0]","(-0.001, 2.0]","(0.13, 0.31]","(0.999, 4.0]","(3.0, 5.0]","(6.0, 7.0]",0.0,1
9,female,21.0,24.0,"(2.0, 4.0]",asian/pacific islander/asian-american,european/caucasian-american,0,"(1.0, 2.0]","(3.0, 10.0]",law,"(35.0, 100.0]","(-0.001, 15.0]","(-0.001, 17.31]","(-0.001, 15.0]","(-0.001, 5.0]","(-0.001, 5.0]","(5.0, 6.0]","(-0.001, 6.0]","(-0.001, 6.0]","(5.0, 6.0]","(5.0, 6.0]","(5.0, 6.0]","(-0.001, 15.0]","(19.05, 20.0]","(17.02, 20.0]","(-0.001, 15.0]","(11.36, 15.0]","(14.29, 17.0]","(1.999, 6.0]","(1.999, 8.0]","(7.0, 8.0]","(2.999, 8.0]","(6.0, 7.0]","(4.0, 5.0]","(-0.001, 6.0]","(-0.001, 6.0]","(7.0, 8.0]","(8.0, 10.0]","(7.0, 10.0]","(8.0, 9.0]","(0.999, 2.0]","(7.0, 8.0]","(8.0, 9.0]","(0.999, 5.0]","(0.999, 4.0]","(3.0, 5.0]","(-0.001, 1.0]","(3.0, 5.0]","(0.999, 7.0]","(8.0, 10.0]","(0.999, 5.0]","(9.0, 10.0]","(9.0, 10.0]","(8.0, 9.0]","(7.0, 8.0]","(-0.001, 2.0]","(-0.831, -0.07]","(0.999, 4.0]","(3.0, 5.0]","(5.0, 6.0]",0.0,0
10,female,24.0,27.0,"(2.0, 4.0]",european/caucasian-american,european/caucasian-american,1,"(1.0, 2.0]","(3.0, 10.0]",law,"(25.0, 35.0]","(18.92, 20.0]","(17.31, 20.0]","(18.0, 20.0]","(-0.001, 5.0]","(-0.001, 5.0]","(7.0, 8.0]","(6.0, 7.0]","(-0.001, 6.0]","(8.0, 11.0]","(6.0, 7.0]","(-0.001, 4.0]","(25.0, 100.0]","(-0.001, 15.0]","(20.0, 25.0]","(17.86, 20.0]","(-0.001, 5.0]","(-0.001, 5.0]","(6.0, 7.0]","(1.999, 8.0]","(9.0, 10.0]","(2.999, 8.0]","(1.999, 6.0]","(4.0, 5.0]","(6.0, 7.0]","(7.0, 8.0]","(-0.001, 5.0]","(5.0, 6.0]","(-0.001, 4.0]","(0.999, 3.0]","(0.999, 2.0]","(6.0, 7.0]","(9.0, 10.0]","(7.0, 8.0]","(4.0, 6.0]","(-0.001, 3.0]","(3.0, 5.0]","(7.0, 8.0]","(9.0, 13.0]","(0.999, 3.0]","(8.0, 9.0]","(7.0, 8.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(-0.001, 2.0]","(0.13, 0.31]","(0.999, 4.0]","(2.0, 3.0]","(3.0, 5.0]",0.0,0
11,female,24.0,22.0,"(1.0, 2.0]",european/caucasian-american,european/caucasian-american,1,"(1.0, 2.0]","(3.0, 10.0]",law,"(35.0, 100.0]","(-0.001, 15.0]","(-0.001, 17.31]","(20.0, 50.0]","(-0.001, 5.0]","(-0.001, 5.0]","(6.0, 7.0]","(-0.001, 6.0]","(9.0, 10.0]","(5.0, 6.0]","(5.0, 6.0]","(4.0, 5.0]","(25.0, 100.0]","(-0.001, 15.0]","(20.0, 25.0]","(17.86, 20.0]","(-0.001, 5.0]","(-0.001, 5.0]","(6.0, 7.0]","(1.999, 8.0]","(9.0, 10.0]","(2.999, 8.0]","(1.999, 6.0]","(7.0, 8.0]","(-0.001, 6.0]","(-0.001, 6.0]","(5.0, 6.0]","(8.0, 10.0]","(5.0, 6.0]","(0.999, 3.0]","(0.999, 2.0]","(6.0, 7.0]","(9.0, 10.0]","(7.0, 8.0]","(4.0, 6.0]","(-0.001, 3.0]","(3.0, 5.0]","(7.0, 8.0]","(9.0, 13.0]","(0.999, 3.0]","(8.0, 9.0]","(7.0, 8.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(-0.001, 2.0]","(0.13, 0.31]","(0.999, 4.0]","(2.0, 3.0]","(-0.001, 3.0]",0.0,0
